c
c
c
c
c
20 400
0 0 0
0 1 43
0 2 41
0 3 5
0 4 10
0 5 46
0 6 36
0 7 98
0 8 75
0 9 36
0 10 19
0 11 10
0 12 15
0 13 95
0 14 7
0 15 36
0 16 42
0 17 89
0 18 66
0 19 97
1 0 78
1 1 0
1 2 4
1 3 85
1 4 51
1 5 21
1 6 27
1 7 9
1 8 64
1 9 86
1 10 21
1 11 28
1 12 86
1 13 73
1 14 77
1 15 47
1 16 22
1 17 14
1 18 6
1 19 74
2 0 50
2 1 54
2 2 0
2 3 93
2 4 58
2 5 28
2 6 28
2 7 33
2 8 42
2 9 9
2 10 7
2 11 79
2 12 44
2 13 68
2 14 79
2 15 70
2 16 75
2 17 5
2 18 39
2 19 24
3 0 37
3 1 74
3 2 88
3 3 0
3 4 80
3 5 25
3 6 27
3 7 10
3 8 99
3 9 38
3 10 1
3 11 22
3 12 68
3 13 38
3 14 34
3 15 92
3 16 2
3 17 50
3 18 1
3 19 35
4 0 13
4 1 38
4 2 87
4 3 43
4 4 0
4 5 84
4 6 99
4 7 47
4 8 42
4 9 98
4 10 66
4 11 17
4 12 3
4 13 36
4 14 50
4 15 75
4 16 1
4 17 35
4 18 60
4 19 54
5 0 64
5 1 74
5 2 70
5 3 45
5 4 79
5 5 0
5 6 84
5 7 5
5 8 77
5 9 45
5 10 47
5 11 62
5 12 93
5 13 89
5 14 3
5 15 39
5 16 70
5 17 49
5 18 19
5 19 16
6 0 93
6 1 9
6 2 29
6 3 45
6 4 20
6 5 73
6 6 0
6 7 94
6 8 3
6 9 40
6 10 17
6 11 20
6 12 59
6 13 18
6 14 37
6 15 38
6 16 43
6 17 36
6 18 31
6 19 21
7 0 45
7 1 30
7 2 39
7 3 18
7 4 31
7 5 53
7 6 30
7 7 0
7 8 47
7 9 74
7 10 51
7 11 17
7 12 50
7 13 38
7 14 92
7 15 26
7 16 33
7 17 98
7 18 23
7 19 46
8 0 12
8 1 92
8 2 69
8 3 76
8 4 12
8 5 48
8 6 82
8 7 20
8 8 0
8 9 63
8 10 30
8 11 18
8 12 2
8 13 32
8 14 12
8 15 95
8 16 1
8 17 1
8 18 50
8 19 34
9 0 18
9 1 71
9 2 44
9 3 84
9 4 77
9 5 54
9 6 39
9 7 58
9 8 86
9 9 0
9 10 59
9 11 66
9 12 56
9 13 66
9 14 12
9 15 58
9 16 15
9 17 22
9 18 62
9 19 29
10 0 22
10 1 13
10 2 69
10 3 54
10 4 10
10 5 74
10 6 37
10 7 83
10 8 65
10 9 68
10 10 0
10 11 15
10 12 82
10 13 42
10 14 7
10 15 33
10 16 82
10 17 67
10 18 97
10 19 90
11 0 67
11 1 21
11 2 56
11 3 79
11 4 66
11 5 37
11 6 42
11 7 40
11 8 53
11 9 98
11 10 66
11 11 0
11 12 43
11 13 10
11 14 59
11 15 80
11 16 55
11 17 93
11 18 69
11 19 25
12 0 15
12 1 48
12 2 39
12 3 4
12 4 25
12 5 14
12 6 66
12 7 69
12 8 58
12 9 29
12 10 70
12 11 24
12 12 0
12 13 29
12 14 45
12 15 21
12 16 25
12 17 24
12 18 94
12 19 66
13 0 45
13 1 12
13 2 12
13 3 21
13 4 6
13 5 52
13 6 77
13 7 19
13 8 62
13 9 25
13 10 34
13 11 65
13 12 66
13 13 0
13 14 91
13 15 49
13 16 84
13 17 6
13 18 82
13 19 71
14 0 8
14 1 80
14 2 6
14 3 13
14 4 59
14 5 28
14 6 55
14 7 80
14 8 51
14 9 87
14 10 37
14 11 74
14 12 32
14 13 50
14 14 0
14 15 55
14 16 31
14 17 47
14 18 8
14 19 64
15 0 95
15 1 53
15 2 20
15 3 36
15 4 17
15 5 88
15 6 13
15 7 98
15 8 57
15 9 95
15 10 42
15 11 71
15 12 10
15 13 95
15 14 74
15 15 0
15 16 96
15 17 93
15 18 48
15 19 18
16 0 72
16 1 52
16 2 90
16 3 33
16 4 54
16 5 30
16 6 83
16 7 83
16 8 9
16 9 5
16 10 48
16 11 21
16 12 64
16 13 71
16 14 40
16 15 21
16 16 0
16 17 41
16 18 83
16 19 95
17 0 99
17 1 93
17 2 92
17 3 54
17 4 1
17 5 87
17 6 19
17 7 82
17 8 18
17 9 77
17 10 56
17 11 19
17 12 44
17 13 59
17 14 6
17 15 40
17 16 60
17 17 0
17 18 64
17 19 73
18 0 26
18 1 1
18 2 17
18 3 18
18 4 80
18 5 63
18 6 96
18 7 58
18 8 28
18 9 20
18 10 71
18 11 35
18 12 93
18 13 9
18 14 60
18 15 30
18 16 32
18 17 30
18 18 0
18 19 70
19 0 15
19 1 76
19 2 8
19 3 72
19 4 41
19 5 27
19 6 2
19 7 60
19 8 99
19 9 22
19 10 93
19 11 24
19 12 92
19 13 69
19 14 31
19 15 59
19 16 94
19 17 64
19 18 95
19 19 0
