c
c
c
c
c
40 1600
0 0 0
0 1 92
0 2 96
0 3 26
0 4 10
0 5 38
0 6 1
0 7 40
0 8 84
0 9 41
0 10 18
0 11 49
0 12 59
0 13 71
0 14 29
0 15 70
0 16 86
0 17 78
0 18 92
0 19 58
0 20 41
0 21 31
0 22 7
0 23 59
0 24 81
0 25 63
0 26 89
0 27 97
0 28 5
0 29 92
0 30 58
0 31 15
0 32 51
0 33 81
0 34 35
0 35 41
0 36 7
0 37 31
0 38 12
0 39 22
1 0 26
1 1 0
1 2 80
1 3 14
1 4 6
1 5 35
1 6 75
1 7 74
1 8 97
1 9 62
1 10 55
1 11 65
1 12 57
1 13 57
1 14 41
1 15 4
1 16 55
1 17 10
1 18 27
1 19 21
1 20 5
1 21 74
1 22 48
1 23 79
1 24 24
1 25 14
1 26 95
1 27 94
1 28 2
1 29 70
1 30 9
1 31 19
1 32 23
1 33 99
1 34 24
1 35 20
1 36 90
1 37 21
1 38 71
1 39 68
2 0 52
2 1 80
2 2 0
2 3 66
2 4 44
2 5 31
2 6 77
2 7 48
2 8 96
2 9 7
2 10 33
2 11 58
2 12 39
2 13 29
2 14 60
2 15 2
2 16 29
2 17 39
2 18 27
2 19 25
2 20 56
2 21 19
2 22 14
2 23 72
2 24 24
2 25 96
2 26 25
2 27 88
2 28 26
2 29 65
2 30 4
2 31 37
2 32 36
2 33 38
2 34 42
2 35 10
2 36 48
2 37 64
2 38 33
2 39 67
3 0 89
3 1 38
3 2 4
3 3 0
3 4 26
3 5 53
3 6 29
3 7 14
3 8 19
3 9 47
3 10 72
3 11 11
3 12 92
3 13 98
3 14 37
3 15 82
3 16 56
3 17 40
3 18 66
3 19 94
3 20 48
3 21 70
3 22 14
3 23 24
3 24 17
3 25 66
3 26 1
3 27 87
3 28 92
3 29 71
3 30 31
3 31 81
3 32 86
3 33 87
3 34 47
3 35 5
3 36 61
3 37 90
3 38 98
3 39 59
4 0 14
4 1 72
4 2 67
4 3 21
4 4 0
4 5 39
4 6 28
4 7 88
4 8 68
4 9 8
4 10 73
4 11 61
4 12 38
4 13 49
4 14 40
4 15 91
4 16 96
4 17 79
4 18 96
4 19 82
4 20 83
4 21 25
4 22 3
4 23 77
4 24 24
4 25 58
4 26 16
4 27 25
4 28 84
4 29 9
4 30 58
4 31 20
4 32 66
4 33 26
4 34 88
4 35 60
4 36 73
4 37 88
4 38 85
4 39 18
5 0 62
5 1 27
5 2 14
5 3 35
5 4 51
5 5 0
5 6 71
5 7 1
5 8 21
5 9 48
5 10 94
5 11 91
5 12 61
5 13 30
5 14 76
5 15 96
5 16 97
5 17 33
5 18 55
5 19 96
5 20 88
5 21 53
5 22 11
5 23 11
5 24 68
5 25 22
5 26 73
5 27 25
5 28 91
5 29 55
5 30 50
5 31 63
5 32 70
5 33 61
5 34 18
5 35 45
5 36 69
5 37 98
5 38 55
5 39 19
6 0 5
6 1 73
6 2 24
6 3 40
6 4 24
6 5 53
6 6 0
6 7 78
6 8 90
6 9 27
6 10 6
6 11 57
6 12 67
6 13 65
6 14 55
6 15 53
6 16 86
6 17 70
6 18 89
6 19 51
6 20 65
6 21 29
6 22 97
6 23 17
6 24 1
6 25 77
6 26 75
6 27 62
6 28 6
6 29 40
6 30 7
6 31 43
6 32 18
6 33 39
6 34 31
6 35 19
6 36 24
6 37 31
6 38 62
6 39 18
7 0 32
7 1 72
7 2 17
7 3 17
7 4 99
7 5 31
7 6 85
7 7 0
7 8 32
7 9 9
7 10 74
7 11 32
7 12 30
7 13 72
7 14 27
7 15 88
7 16 45
7 17 54
7 18 51
7 19 74
7 20 64
7 21 41
7 22 14
7 23 10
7 24 58
7 25 42
7 26 4
7 27 89
7 28 36
7 29 85
7 30 84
7 31 33
7 32 52
7 33 99
7 34 52
7 35 9
7 36 44
7 37 74
7 38 5
7 39 38
8 0 60
8 1 18
8 2 84
8 3 41
8 4 33
8 5 45
8 6 63
8 7 13
8 8 0
8 9 9
8 10 3
8 11 36
8 12 95
8 13 63
8 14 20
8 15 73
8 16 48
8 17 22
8 18 1
8 19 54
8 20 27
8 21 55
8 22 83
8 23 9
8 24 60
8 25 49
8 26 81
8 27 53
8 28 33
8 29 62
8 30 86
8 31 59
8 32 31
8 33 93
8 34 43
8 35 83
8 36 11
8 37 98
8 38 24
8 39 96
9 0 89
9 1 10
9 2 33
9 3 91
9 4 65
9 5 19
9 6 49
9 7 27
9 8 11
9 9 0
9 10 45
9 11 57
9 12 12
9 13 75
9 14 80
9 15 52
9 16 20
9 17 6
9 18 61
9 19 58
9 20 55
9 21 19
9 22 96
9 23 97
9 24 49
9 25 86
9 26 25
9 27 99
9 28 27
9 29 88
9 30 60
9 31 79
9 32 13
9 33 61
9 34 53
9 35 66
9 36 5
9 37 85
9 38 45
9 39 64
10 0 46
10 1 59
10 2 76
10 3 8
10 4 18
10 5 95
10 6 67
10 7 80
10 8 77
10 9 64
10 10 0
10 11 20
10 12 8
10 13 47
10 14 22
10 15 62
10 16 4
10 17 68
10 18 59
10 19 50
10 20 58
10 21 61
10 22 54
10 23 66
10 24 17
10 25 79
10 26 90
10 27 51
10 28 83
10 29 54
10 30 57
10 31 5
10 32 44
10 33 68
10 34 67
10 35 23
10 36 13
10 37 95
10 38 96
10 39 24
11 0 43
11 1 5
11 2 92
11 3 7
11 4 6
11 5 90
11 6 9
11 7 52
11 8 18
11 9 49
11 10 14
11 11 0
11 12 10
11 13 59
11 14 2
11 15 48
11 16 96
11 17 64
11 18 53
11 19 87
11 20 73
11 21 23
11 22 17
11 23 53
11 24 29
11 25 46
11 26 77
11 27 37
11 28 51
11 29 4
11 30 69
11 31 93
11 32 84
11 33 43
11 34 25
11 35 72
11 36 82
11 37 62
11 38 19
11 39 24
12 0 42
12 1 15
12 2 56
12 3 14
12 4 17
12 5 55
12 6 18
12 7 21
12 8 87
12 9 7
12 10 31
12 11 20
12 12 0
12 13 58
12 14 41
12 15 67
12 16 89
12 17 38
12 18 19
12 19 60
12 20 98
12 21 92
12 22 39
12 23 5
12 24 89
12 25 13
12 26 89
12 27 58
12 28 59
12 29 82
12 30 85
12 31 83
12 32 61
12 33 82
12 34 60
12 35 46
12 36 2
12 37 81
12 38 37
12 39 64
13 0 74
13 1 18
13 2 53
13 3 85
13 4 68
13 5 82
13 6 27
13 7 82
13 8 88
13 9 27
13 10 7
13 11 31
13 12 68
13 13 0
13 14 56
13 15 53
13 16 74
13 17 27
13 18 78
13 19 28
13 20 78
13 21 88
13 22 97
13 23 81
13 24 60
13 25 68
13 26 49
13 27 34
13 28 55
13 29 38
13 30 22
13 31 99
13 32 11
13 33 21
13 34 18
13 35 92
13 36 49
13 37 16
13 38 52
13 39 63
14 0 22
14 1 82
14 2 52
14 3 48
14 4 91
14 5 95
14 6 50
14 7 81
14 8 10
14 9 21
14 10 91
14 11 51
14 12 82
14 13 40
14 14 0
14 15 62
14 16 72
14 17 57
14 18 61
14 19 67
14 20 46
14 21 30
14 22 49
14 23 68
14 24 86
14 25 44
14 26 20
14 27 27
14 28 21
14 29 48
14 30 56
14 31 93
14 32 18
14 33 61
14 34 90
14 35 84
14 36 57
14 37 87
14 38 26
14 39 36
15 0 92
15 1 33
15 2 85
15 3 47
15 4 9
15 5 14
15 6 20
15 7 57
15 8 81
15 9 59
15 10 93
15 11 68
15 12 47
15 13 10
15 14 11
15 15 0
15 16 19
15 17 5
15 18 91
15 19 79
15 20 99
15 21 88
15 22 69
15 23 37
15 24 75
15 25 14
15 26 9
