cPrueba7
cGrafo completo de 20 nodos
c
c
c
20 190
0 1 1
0 2 2
0 3 3
0 4 4
0 5 5
0 6 6
0 7 7
0 8 8
0 9 9
0 10 1
0 11 2
0 12 3
0 13 4
0 14 5
0 15 6
0 16 7
0 17 8
0 18 9
0 19 1
1 2 1
1 3 2
1 4 3
1 5 4
1 6 5
1 7 6
1 8 7
1 9 8
1 10 1
1 11 2
1 12 3
1 13 4
1 14 1
1 15 12
1 16 2
1 17 21
1 18 1
1 19 21
2 3 9
2 4 1
2 5 2
2 6 3
2 7 4
2 8 5
2 9 6
2 10 12
2 11 1
2 12 14
2 13 3
2 14 32
2 15 2
2 16 23
2 17 2
2 18 34
2 19 23
3 4 7
3 5 8
3 6 9
3 7 1
3 8 2
3 9 3
3 10 23
3 11 2
3 12 234
3 13 1
3 14 12
3 15 1
3 16 23
3 17 5
3 18 3
3 19 23
4 5 4
4 6 5
4 7 6
4 8 7
4 9 8
4 10 23
4 11 234
4 12 1
4 13 213
4 14 32
4 15 2
4 16 12
4 17 12
4 18 124
4 19 12
5 6 9
5 7 1
5 8 2
5 9 3
5 10 1312
5 11 12
5 12 12
5 13 23
5 14 21
5 15 123
5 16 12
5 17 12
5 18 21
5 19 12
6 7 4
6 8 5
6 8 5
6 9 6
6 10 123
6 11 21
6 12 21
6 13 123
6 14 12
6 15 123
6 16 12
6 17 6
6 18 6
6 19 21
7 8 7
7 9 8
7 10 123
7 11 6
7 12 21
7 13 6
7 14 124
7 15 21
7 16 124
7 18 123
7 19 124
8 9 9
8 10 123
8 11 12
8 12 6
8 13 21
8 14 6
8 15 12
8 16 12
8 17 7
8 18 12
8 19 7
9 10 12
9 11 7
9 12 123
9 13 7
9 14 12
9 15 124
9 16 123
9 17 12
9 18 21
9 19 124
10 11 7
10 12 124
10 13 12
10 14 6
10 15 7
10 16 12
10 17 21
10 18 7
10 19 123
11 12 7
11 13 21
11 14 7
11 15 12
11 16 7
11 17 6
11 18 6
11 19 7
12 13 7
12 14 12
12 15 124
12 16 12
12 17 7
12 18 123
12 19 21
13 14 123
13 15 21
13 16 7
13 17 123
13 18 12
13 19 7
14 15 6
14 16 6
14 17 12
14 18 123
14 19 7
15 16 124
15 17 7
15 18 12
15 19 123
16 17 124
16 18 6
16 19 21
17 18 12
17 19 6
18 19 12
